file_read,file_write,num_nodes,num_edges,graph_density,gamma,lowest_energy_dwave,lowest_energy_or_tools,vi pham,correct_solutions,percentage_correct,SA timing
data_1.txt,SA_gamma_21.json,20,38,0.2,2.0,-8.0,-8,1,976,0.976,"{'preprocessing_ns': 10504800, 'sampling_ns': 379963400, 'postprocessing_ns': 815400}"
data_2.txt,SA_gamma_22.json,20,38,0.2,2.0,-9.0,-9,1,697,0.697,"{'preprocessing_ns': 2635700, 'sampling_ns': 353748600, 'postprocessing_ns': 437400}"
data_3.txt,SA_gamma_23.json,20,38,0.2,2.0,-9.0,-9,0,903,0.903,"{'preprocessing_ns': 1495100, 'sampling_ns': 397426000, 'postprocessing_ns': 517900}"
data_4.txt,SA_gamma_24.json,20,38,0.2,2.0,-9.0,-9,1,964,0.964,"{'preprocessing_ns': 1572100, 'sampling_ns': 359388100, 'postprocessing_ns': 821500}"
data_5.txt,SA_gamma_25.json,20,38,0.2,2.0,-9.0,-9,1,963,0.963,"{'preprocessing_ns': 1205700, 'sampling_ns': 347894400, 'postprocessing_ns': 376200}"
data_6.txt,SA_gamma_26.json,30,261,0.6,2.0,-5.0,-5,0,916,0.916,"{'preprocessing_ns': 3192300, 'sampling_ns': 594836700, 'postprocessing_ns': 413700}"
data_7.txt,SA_gamma_27.json,30,261,0.6,2.0,-5.0,-5,1,881,0.881,"{'preprocessing_ns': 2248800, 'sampling_ns': 570052400, 'postprocessing_ns': 547200}"
data_8.txt,SA_gamma_28.json,30,261,0.6,2.0,-5.0,-5,0,918,0.918,"{'preprocessing_ns': 2464000, 'sampling_ns': 647058200, 'postprocessing_ns': 697000}"
data_9.txt,SA_gamma_29.json,30,261,0.6,2.0,-5.0,-5,0,914,0.914,"{'preprocessing_ns': 3525000, 'sampling_ns': 623791900, 'postprocessing_ns': 402700}"
data_10.txt,SA_gamma_210.json,30,261,0.6,2.0,-5.0,-5,1,818,0.818,"{'preprocessing_ns': 2327000, 'sampling_ns': 594737200, 'postprocessing_ns': 405900}"
data_11.txt,SA_gamma_211.json,40,312,0.4,2.0,-8.0,-8,0,828,0.828,"{'preprocessing_ns': 3216500, 'sampling_ns': 759703800, 'postprocessing_ns': 533700}"
data_12.txt,SA_gamma_212.json,40,312,0.4,2.0,-9.0,-9,0,870,0.87,"{'preprocessing_ns': 3259900, 'sampling_ns': 790964600, 'postprocessing_ns': 471000}"
data_13.txt,SA_gamma_213.json,40,312,0.4,2.0,-9.0,-9,1,755,0.755,"{'preprocessing_ns': 2751700, 'sampling_ns': 729572700, 'postprocessing_ns': 458200}"
data_14.txt,SA_gamma_214.json,40,312,0.4,2.0,-9.0,-9,0,360,0.36,"{'preprocessing_ns': 2651900, 'sampling_ns': 815866200, 'postprocessing_ns': 531300}"
data_15.txt,SA_gamma_215.json,40,312,0.4,2.0,-8.0,-8,0,597,0.597,"{'preprocessing_ns': 2697600, 'sampling_ns': 881644200, 'postprocessing_ns': 513400}"
